article_id,title,manual_sentiment,chunk_count,total_chunk_words,minimum_chunk_words,average_chunk_words,maximum_chunk_words
PB0274,SRAM Maven Brake Review: The Current Benchmark for Accessible Power,Positive,6,1156,180,192.67,223
PB0275,Review: Trickstuff's Maxima Brakes Are Fancy and Finicky,Mixed,5,978,180,195.6,230
PB0276,Review: Hope Tech 4 V4 Brakes - Strong and Sensitive,Positive,7,1278,134,182.57,200
PB0277,Can MTB Brakes Stop a Honda Fit? We Tested 10 Four-Piston MTB Brakes,Positive,12,2230,93,185.83,212
PB0278,Review: FSA NS SC i30 Carbon Wheels,Positive,6,1051,141,175.17,198
PB0279,Trek Fuel EX+ Review: The Mid-Power eMTB That’ll Make Most Riders Happy,Positive,18,3349,130,186.06,219
PB0280,Intrusive Thoughts: The Hudski Dualist - Is This a Mountain Bike?,Mixed,10,1941,137,194.1,233
PB0281,Review: 2026 Devinci Spartan - A Canadian-Made Aluminum Beast,Positive,15,2836,137,189.07,231
PB0282,Scott Gambler RC Review: A Race-Ready DH Bike That's Easy to Live With,Positive,19,3354,52,176.53,220
PB0283,Review: EXT Vecta Coil Shock - Boutique Suspension at a Lower Price,Positive,8,1442,52,180.25,220
PB0284,Review: Vessel Bike Project Enduro - Custom Geo and a High-Pivot Steel Frame,Positive,17,3153,79,185.47,211
PB0285,The Crankbrothers Stamp EVO is a Comically Large Flat Pedal,Positive,6,1006,73,167.67,194
PB0286,Allied Fitz Review: The XC Rider's Trail Bike?,Positive,14,2569,32,183.5,229
PB0287,6D ATB-3: A $769 DH Helmet That Can Be Repaired After a Crash (Sometimes),Mixed,8,1521,180,190.12,214
PB0288,"The Good, The Bad &amp; The Ugly: Pinkbike Tech Editors' Preferred Handlebars",Mixed,15,2875,181,191.67,212
PB0289,"Review: The EXT Vaia USD Fork is Extra Adjustable, But Lacks Consistency",Positive,14,2665,155,190.36,244
PB0290,Review: One Year With the High-Pivot Canyon Sender CFR DH Bike - Fast &amp; Refined,Positive,17,3274,136,192.59,223
PB0291,Review: 2026 Propain Tyee Trail - Does Less Travel Really Make a Difference?,Positive,15,2889,140,192.6,231
PB0292,Canfield Lithium V3 Review: Long Travel Without the Lethargy,Positive,16,3042,160,190.12,202
PB0293,"Review: Shimano XT 8220 Brakes - More Consistency, Same Value",Positive,12,2283,182,190.25,207
PB0294,Review: Sidi Dominator X Shoes - A Tougher Take on XC Footwear,Positive,7,1234,88,176.29,201
PB0295,Review: The Forbidden Reya Throws Conventional XC Geometry Out the Window,Positive,18,3481,180,193.39,241
PB0296,Review: Sour Bicycles Double Choc - Exotic Normal,Positive,12,2283,131,190.25,215
PB0297,Chromag Throwdown Review: Too Slack or Just Right?,Mixed,17,3094,104,182.0,224
PB0298,Review: Berd Hawk 30 Gold Wheels – Ultra-Light and Subtly Forgiving,Positive,6,1182,182,197.0,222
PB0299,Review: Stinner Romero MT - A US-Made Steel Trail Bike That's Better With Mixed Wheels,Positive,15,2884,150,192.27,214
PB0300,Review: Yeti Goes Long With the Ultra-Adjustable LT,Mixed,25,4827,124,193.08,228
PB0301,Oak Components Levers Claim Increased Power for Hope Tech 4 V4 Brakes,Mixed,4,790,183,197.5,232
